vto_short,vto_label,tok1,tok2,uuid,family,genus,specificepithet,lat,lon,char_sesamoid_bone_of_manus,char_carpal_bone,char_metacarpal_bone,char_humerus,char_ulna,char_radius_bone,char_centrale_fore,char_ulnare,char_phalanx_of_manus,char_intermedium,char_radiale,char_pelvic_fin,char_pectoral_fin,char_pelvic_sucking_disc
VTO:0054207,Poeciliidae,poeciliidae,,0bfc5d1e-7a0f-4bc3-ba9d-3c79e0c2d3d1,poeciliidae,gambusia,affinis,32.3477778,-85.5047222,,,,,,,,,,,,?,1,?
VTO:0055959,Soleidae,soleidae,,0bfcb3f3-293b-4bd1-8578-3809f352f505,soleidae,zebrias,zebra,23.342925,116.707924,,,,,,,,,,,,1,0 and 1,?
VTO:0054160,Fundulidae,fundulidae,,0bfd8b15-62d2-4ec4-a821-99000d317000,fundulidae,fundulus,escambiae,30.863016999999996,-86.671659,,,,,,,,,,,,?,1,?
VTO:0054160,Fundulidae,fundulidae,,0bfe20e9-3cf0-408d-993e-ec92dd87889f,fundulidae,fundulus,olivaceus,35.1205556,-87.5091667,,,,,,,,,,,,?,1,?
VTO:0040420,Notropis buchanani,notropis,buchanani,0bfef385-1c0e-4f0d-bbb7-25b17d0cd031,cyprinidae,notropis,buchanani,39.1091,-84.8156,,,,,,,,,,,,1,1,?
VTO:0055812,Paralichthyidae,paralichthyidae,,0bff433e-b4e8-49cc-a24b-e504b58163f3,paralichthyidae,paralichthys,albigutta,10.75,-61.25,,,,,,,,,,,,?,1,?
VTO:0057324,Myctophidae,myctophidae,,0c02753a-9f4f-4054-94df-5dee68c4d01e,myctophidae,ceratoscopelus,townsendi,33.4069444,-118.8255556,,,,,,,,,,,,1,?,?
VTO:0039634,Campostoma anomalum,campostoma,anomalum,0c04e29a-8663-403f-86c6-db03918b9dd2,cyprinidae,campostoma,anomalum,33.0577778,-87.0236111,,,,,,,,,,,,1,1,?
VTO:0002638,Spea intermontana,spea,intermontana,0c055214-3f14-4f36-9815-7603d0e9a948,scaphiopodidae,spea,intermontana,38.32385277247638,-116.29934753330137,?,1,?,1,?,?,?,1,?,?,?,,,
VTO:0052519,Liparidae,liparidae,,0c057a25-8a76-4820-914f-52c120eaceae,liparidae,paraliparis,dactylosus,58.52421,-176.8127,,,,,,,,,,,,0 and 1,1,0
VTO:0040360,Notropis volucellus,notropis,volucellus,0c05b806-7ba2-4552-8741-b07daecaa78c,cyprinidae,notropis,volucellus,30.6966955,-97.1192448,,,,,,,,,,,,1,1,?
VTO:0057690,Chlorophthalmidae,chlorophthalmidae,,0c05bd0f-e9a0-407b-8b6f-29ec59a3d2fa,chlorophthalmidae,chlorophthalmus,,38.9383333333,-71.6633333333,,,,,,,,,,,,1,?,?
VTO:0041458,Catostomus commersonii,catostomus,commersonii,0c07f61c-a8e0-423e-964e-965255d6de5f,catostomidae,catostomus,commersonii,40.8424,-83.3044,,,,,,,,,,,,1,1,?
VTO:0007378,Anaxyrus debilis,anaxyrus,debilis,0c092345-924e-41ed-99f5-941b906f6034,bufonidae,anaxyrus,debilis,31.16956871740705,-105.64718688890058,?,?,?,?,?,?,?,?,1,?,?,,,
VTO:0041434,Hypentelium nigricans,hypentelium,nigricans,0c09886e-dc56-4001-80ae-eb64128ae97a,catostomidae,hypentelium,nigricans,35.07583,-83.78278,,,,,,,,,,,,1,?,?
VTO:0042683,Blenniidae,blenniidae,,0c0994e2-a47f-4e0d-af59-0ffd725c6830,blenniidae,hypleurochilus,multifilis,27.835,-97.05666,,,,,,,,,,,,0 and 1,1,0
VTO:0034556,Clupeidae,clupeidae,,0c0a4839-039c-4a5c-b8dc-67b116fae9f4,clupeidae,dorosoma,cepedianum,29.46139,-82.17389,,,,,,,,,,,,0 and 1,1,0
VTO:0034747,Dorosoma cepedianum,dorosoma,cepedianum,0c0a4839-039c-4a5c-b8dc-67b116fae9f4,clupeidae,dorosoma,cepedianum,29.46139,-82.17389,,,,,,,,,,,,1,?,?
VTO:0040247,Rhinichthys atratulus,rhinichthys,atratulus,0c0b4a54-f2a2-40fc-b2e3-686e69e2bb56,cyprinidae,rhinichthys,atratulus,40.8424,-83.3044,,,,,,,,,,,,1,1,?
VTO:0041850,Tetraodontidae,tetraodontidae,,0c0ba9ff-ba43-49ae-bed6-545e1537203b,tetraodontidae,arothron,,0.883333,127.683333,,,,,,,,,,,,0 and 1,1,0
VTO:0054207,Poeciliidae,poeciliidae,,0c0cc01e-9c28-4364-bd70-3dfc86462673,poeciliidae,limia,melanogaster,18.38352,-77.934142,,,,,,,,,,,,?,1,?
VTO:0054207,Poeciliidae,poeciliidae,,0c0d350b-e7c2-4d8f-aff4-cd976bb76dbf,poeciliidae,gambusia,affinis,30.74055,-89.82694,,,,,,,,,,,,?,1,?
VTO:0040343,Notropis texanus,notropis,texanus,0c0daaa0-ea0a-4084-8f40-5c0dfdd117a3,cyprinidae,notropis,texanus,30.6805555556,-87.09916666,,,,,,,,,,,,1,1,?
VTO:0004612,Arthroleptis variabilis,arthroleptis,variabilis,0c0db89e-288b-40cc-8f39-663a3fc88eba,arthroleptidae,arthroleptis,variabilis,3.403267,8.667383,1,1,1,1,?,?,?,1,1,?,?,,,
